prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
48,1297,0,0.0,-0.31644297273569555,0.7287365682277263,1
34,3946,0,0.0,-0.3662064928714433,0.6933596126092014,1
38,1392,0,0.0,-0.19435596948648273,0.8233647593657726,1
27,126,27,3.0,-0.11632225999039747,0.8901883049941914,0
41,783,33,1.0,-0.1750751269162842,0.8393939573207947,0
223,3569,0,0.0,-0.20611915577713227,0.8137361091474722,1
65,2625,291,1.0,-0.13089518424136856,0.8773097254564275,0
62,1108,0,0.0,-0.24186586948037425,0.7851614846071471,1
187,1958,0,0.0,-0.17981858933017306,0.8354217520849426,1
53,1061,0,0.0,-0.24961566834303173,0.7791001583928325,1
404,3549,0,0.0,-0.21070017999263918,0.810016889747727,1
53,2587,0,0.0,-0.12428720813860025,0.8831261634338317,1
70,890,0,0.0,-0.34503620543830643,0.7081947125036591,1
70,2265,0,0.0,-0.18427854342611605,0.8317041058480377,1
83,104,9,1.0,-0.18760813604260168,0.8289394750992701,0
250,294,63,2.0,-0.06965801884400094,0.9327127355507884,0
238,696,0,0.0,-0.29858148323820566,0.7418698294311802,1
48,96,15,2.0,-0.1425242886788409,0.8671664917080462,0
43,547,0,0.0,-0.30523383745315225,0.7369510274904666,1
34,67,16,1.0,-0.3577290442162848,0.6992625185636929,0
49,357,14,1.0,-0.14050404624330978,0.8689201490633236,0
23,50,5,1.0,-0.3389364722380905,0.7125277129423226,0
22,696,0,0.0,-0.37161325696551506,0.6896208970358751,1
17,111,22,1.0,-0.1900424336644766,0.826924043781444,0
34,1320,0,0.0,-0.13427552766477044,0.8743491240396222,1
466,1126,0,0.0,-0.4448403693040666,0.6409265794226363,1
127,3268,0,0.0,-0.16712496926488163,0.846093869001225,1
130,1962,0,0.0,-0.25187595593556805,0.7773411566452669,1
220,798,0,0.0,-0.2892683504740422,0.7488112345887987,1
99,487,0,0.0,-0.20474956743429343,0.8148513561770441,1
123,884,0,0.0,-0.2943145806139009,0.7450420787798574,1
45,819,0,0.0,-0.31687849300592624,0.7284192577831856,1
48,1072,0,0.0,-0.4789302404409813,0.6194456954441504,1
187,275,53,2.0,-0.21411500070688252,0.8072555447261556,0
127,143,31,1.0,-0.16303505192877463,0.8495614091266802,0
124,76,9,1.0,-0.1826653926906753,0.8330468526733891,0
82,2552,0,0.0,-0.09322508722476072,0.9109884253606788,1
25,749,0,0.0,-0.16550905513766354,0.8474621892833899,1
59,618,0,0.0,-0.20964400039410588,0.8108728650133811,1
63,849,0,0.0,-0.27480032222004375,0.7597238080437907,1
75,113,30,2.0,-0.1348817714045286,0.8738192159997559,0
29,1455,0,0.0,-0.31335911391516685,0.7309873576961897,1
47,1187,0,0.0,-0.24699194991470513,0.7811469818058973,1
46,91,9,1.0,-0.24748761564968963,0.7807598899550381,0
158,1699,0,0.0,-0.3333079460107263,0.7165495016162388,1
158,755,0,0.0,-0.3137779649064063,0.7306812470286888,1
75,1781,0,0.0,-0.26158428025724717,0.7698309911361774,1
88,2412,223,2.3333333333333335,-0.09316261387470923,0.9110453396372634,0
258,2515,0,0.0,-0.14568676791922955,0.8644284274976816,1
148,1003,0,0.0,-0.29988330228099125,0.7409046775228315,1
42,67,12,1.0,-0.14158104722376746,0.867984824973733,0
35,726,112,1.0,-0.05261520750324283,0.9487450122152514,0
93,1164,0,0.0,-0.2057518634449129,0.8140350430755213,1
203,410,0,0.0,-0.42299106218191634,0.655084488111625,1
182,1339,0,0.0,-0.18189867794419495,0.8336858068963545,1
242,145,33,3.0,-0.21206448542382395,0.8089125328170698,0
277,861,0,0.0,-0.23616765513884047,0.7896482742433153,1
32,1410,0,0.0,-0.20296744410006556,0.8163048165309423,1
21,747,0,0.0,-0.18515082170591082,0.8309789447384124,1
38,1034,0,0.0,-0.3429139035906943,0.7096993114923348,1
24,1330,0,0.0,-0.3387883450686292,0.7126332654730093,1
40,1836,0,0.0,-0.37032818626181957,0.690507678313596,1
17,1206,0,0.0,-0.3195412764692218,0.7264822151363147,1
15,981,0,0.0,-0.19186742423115322,0.8254162914375626,1
38,1195,0,0.0,-0.26976050698766374,0.7635623402857973,1
31,568,85,2.0,-0.09559282953936578,0.9088339910969383,0
16,276,9,1.0,-0.22439353639066928,0.7990006366635829,0
31,65,5,1.0,-0.3593065249171394,0.698160315016804,0
18,967,0,0.0,-0.317942229110872,0.7276448238888159,1
17,37,5,1.0,-0.2878072429094963,0.7499061280318347,0
188,782,0,0.0,-0.37554120311560985,0.6869174163276037,1
125,1583,0,0.0,-0.4923320509460888,0.611199382800612,1
245,3138,0,0.0,-0.17938090486063607,0.835787483242929,1
209,1035,36,2.0,-0.19233886589976074,0.8250272475167946,0
102,1056,0,0.0,-0.24054134280668993,0.7862021409730748,1
30,2764,0,0.0,-0.1546593809146783,0.8567069385248922,1
161,577,0,0.0,-0.3630038627485598,0.6955837466287902,1
203,753,0,0.0,-0.3183387724551948,0.7273563383791565,1
234,3526,0,0.0,-0.2502640555739287,0.7785951635323423,1
278,149,45,4.0,-0.085706177504341,0.9178638806597661,0
121,366,0,0.0,-0.18539526319276253,0.8307758438337729,1
206,1246,0,0.0,-0.5121606698929587,0.5991995067903952,1
273,2729,0,0.0,-0.27168615357207726,0.7620934038533664,1
53,942,0,0.0,-0.25429429724453534,0.7754635516749002,1
140,82,9,1.0,-0.23434484121064866,0.7910889687760986,0
40,997,0,0.0,-0.4323419326607341,0.6489874287433915,1
90,3274,787,1.0,-0.04384137013906381,0.9571057709870029,0
91,2251,0,0.0,-0.2382405169346173,0.7880131377949544,1
25,749,0,0.0,-0.16550905513766354,0.8474621892833899,1
35,887,0,0.0,-0.32209366380574633,0.7246303155181353,1
44,99,21,2.0,-0.20181284796880294,0.8172478632283102,0
84,1126,0,0.0,-0.29792702869535387,0.7423555084213317,1
173,1103,0,0.0,-0.2493998737531619,0.7792683021335827,1
236,1340,0,0.0,-0.19317594614561137,0.8243369224746472,1
51,2064,0,0.0,-0.10492626239852919,0.9003909128048041,1
37,1871,0,0.0,-0.1748160864648788,0.8396114224753259,1
94,3383,0,0.0,-0.14975491987016482,0.8609189446986802,1
246,1826,0,0.0,-0.2377698097077888,0.7883841485856302,1
61,139,7,1.0,-0.6767821686012381,0.5082498261136988,0
93,1409,0,0.0,-0.275869397773928,0.7589120398909667,1
